,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Recent Rain,Recent Snow,Country,Date
90,Mahebourg,-20.41,57.7,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:34:09
91,Winkler,49.18,-97.94,28.4,100,1,3.36,clear sky,0.0,0.0,CA,2020-02-23 02:35:03
92,Ghanzi,-21.57,21.78,71.24,76,1,5.82,clear sky,0.0,0.0,BW,2020-02-23 02:33:26
93,Rio Verde De Mato Grosso,-18.92,-54.84,70.5,90,100,2.44,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:26
94,Yongan,39.7,113.69,39.0,31,0,8.59,clear sky,0.0,0.0,CN,2020-02-23 02:38:26
95,Chuy,-33.7,-53.46,59.22,88,0,4.97,clear sky,0.0,0.0,UY,2020-02-23 02:34:05
96,Seymour,38.96,-85.89,37.4,73,1,6.22,clear sky,0.0,0.0,US,2020-02-23 02:37:35
97,Hays,30.05,-98.03,57.2,66,90,5.82,overcast clouds,0.0,0.0,US,2020-02-23 02:38:27
98,Kasongo-Lunda,-6.47,16.82,69.12,97,100,1.66,light rain,0.75,0.0,CD,2020-02-23 02:38:28
99,Northam,51.03,-4.22,55.0,95,100,11.01,light rain,2.0,0.0,GB,2020-02-23 02:38:28
100,Zorritos,-3.68,-80.68,89.6,33,75,3.36,broken clouds,0.0,0.0,PE,2020-02-23 02:38:28
101,Ashland,40.82,-82.27,36.0,55,1,10.29,clear sky,0.0,0.0,US,2020-02-23 02:38:28
102,Fethiye,36.62,29.12,48.2,66,75,11.41,broken clouds,0.0,0.0,TR,2020-02-23 02:38:29
103,Spresiano,45.78,12.26,43.0,93,5,5.82,clear sky,0.0,0.0,IT,2020-02-23 02:38:29
104,Tambo,-14.8,-73.92,47.89,95,100,3.94,light rain,2.63,0.0,PE,2020-02-23 02:38:29
105,Eureka,40.8,-124.16,50.0,81,1,6.93,clear sky,0.0,0.0,US,2020-02-23 02:29:38
106,Hithadhoo,-0.6,73.08,83.25,79,100,17.49,overcast clouds,0.0,0.0,MV,2020-02-23 02:33:34
107,Victoria,22.29,114.16,75.99,52,20,14.99,few clouds,0.0,0.0,HK,2020-02-23 02:34:53
108,Yellowknife,62.46,-114.35,0.0,64,75,5.82,broken clouds,0.0,0.0,CA,2020-02-23 02:28:56
109,San Policarpo,12.18,125.51,81.16,74,0,12.24,light rain,0.44,0.0,PH,2020-02-23 02:38:30
110,Castro,-24.79,-50.01,57.97,90,79,9.42,broken clouds,0.0,0.0,BR,2020-02-23 02:34:08
111,Hachinohe,40.5,141.5,41.0,64,75,38.03,light shower snow,0.0,0.0,JP,2020-02-23 02:38:31
112,Linqu,36.52,118.54,55.99,27,0,3.0,clear sky,0.0,0.0,CN,2020-02-23 02:38:31
113,Markala,13.7,-6.07,75.65,12,0,9.51,clear sky,0.0,0.0,ML,2020-02-23 02:38:31
114,Belmonte,-15.86,-38.88,78.8,88,75,5.82,broken clouds,0.0,0.0,BR,2020-02-23 02:34:24
115,Ponta Do Sol,32.67,-17.1,70.0,72,20,20.8,few clouds,0.0,0.0,PT,2020-02-23 02:34:46
116,Plettenberg Bay,-34.05,23.37,61.68,76,73,7.72,light rain,0.25,0.0,ZA,2020-02-23 02:38:32
117,Ippy,6.27,21.22,77.09,15,1,9.13,clear sky,0.0,0.0,CF,2020-02-23 02:38:32
118,Bilma,18.69,12.92,64.94,22,85,14.29,overcast clouds,0.0,0.0,NE,2020-02-23 02:37:22
119,Maldonado,-34.67,-54.92,57.2,87,0,3.36,clear sky,0.0,0.0,UY,2020-02-23 02:36:26
120,Poronaysk,49.22,143.12,23.97,93,100,20.18,light snow,0.0,1.13,RU,2020-02-23 02:38:32
121,Kununurra,-15.77,128.73,96.8,32,17,11.41,few clouds,0.0,0.0,AU,2020-02-23 02:38:33
122,Quixeramobim,-5.2,-39.29,71.47,95,100,3.18,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:33
123,Kalianget,-7.05,113.93,83.62,78,100,12.17,light rain,1.69,0.0,ID,2020-02-23 02:38:33
124,Gusau,12.16,6.66,71.53,15,0,15.59,clear sky,0.0,0.0,NG,2020-02-23 02:29:06
125,Khatanga,71.97,102.5,11.23,78,100,16.13,overcast clouds,0.0,0.0,RU,2020-02-23 02:28:56
126,Kaitangata,-46.28,169.85,64.0,57,94,8.01,overcast clouds,0.0,0.0,NZ,2020-02-23 02:38:34
127,Qaqortoq,60.72,-46.03,21.2,79,100,10.29,light snow,0.0,0.0,GL,2020-02-23 02:38:34
128,Svetlogorsk,52.63,29.73,40.01,81,100,17.0,light rain,0.44,0.0,BY,2020-02-23 02:31:57
129,Namibe,-15.2,12.15,75.56,77,84,12.39,broken clouds,0.0,0.0,AO,2020-02-23 02:32:55
130,Thompson,55.74,-97.86,21.2,62,40,3.36,scattered clouds,0.0,0.0,CA,2020-02-23 02:30:33
131,Nikolskoye,59.7,30.79,39.2,80,90,15.66,overcast clouds,0.0,0.0,RU,2020-02-23 02:34:32
132,Rudnogorsk,57.26,103.75,14.04,91,77,4.83,broken clouds,0.0,0.0,RU,2020-02-23 02:38:35
133,Pasil,17.38,121.13,69.84,62,51,6.08,broken clouds,0.0,0.0,PH,2020-02-23 02:38:35
134,Saskylakh,71.92,114.08,5.07,95,100,9.22,light snow,0.0,0.38,RU,2020-02-23 02:35:30
135,Rabat,33.99,-6.84,64.0,62,0,9.17,clear sky,0.0,0.0,MA,2020-02-23 02:38:36
136,Worland,44.02,-107.96,32.0,79,1,6.93,clear sky,0.0,0.0,US,2020-02-23 02:38:36
137,Curuca,-0.73,-47.85,81.16,83,74,8.61,broken clouds,0.0,0.0,BR,2020-02-23 02:38:36
138,Ixtapa,20.7,-105.2,78.8,83,20,6.93,few clouds,0.0,0.0,MX,2020-02-23 02:38:36
139,Hasaki,35.73,140.83,57.0,35,20,10.29,few clouds,0.0,0.0,JP,2020-02-23 02:29:43
140,Cherskiy,68.75,161.3,-17.18,94,94,5.64,overcast clouds,0.0,0.0,RU,2020-02-23 02:32:58
141,Kumluca,36.37,30.29,43.11,77,37,6.44,scattered clouds,0.0,0.0,TR,2020-02-23 02:38:37
142,Gobabis,-22.45,18.97,71.6,83,100,3.36,light rain,0.69,0.0,NA,2020-02-23 02:34:56
143,Namatanai,-3.67,152.43,86.38,70,100,14.88,overcast clouds,0.0,0.0,PG,2020-02-23 02:36:27
144,Tela,15.78,-87.45,77.0,88,75,2.24,broken clouds,0.0,0.0,HN,2020-02-23 02:38:38
145,Port Alfred,-33.59,26.89,62.01,84,16,1.01,few clouds,0.0,0.0,ZA,2020-02-23 02:34:31
146,Mount Gambier,-37.83,140.77,78.8,39,0,9.17,clear sky,0.0,0.0,AU,2020-02-23 02:30:52
147,Tuktoyaktuk,69.45,-133.04,1.4,84,90,3.36,light snow,0.0,0.0,CA,2020-02-23 02:30:23
148,Almaznyy,48.04,40.05,32.0,99,90,6.71,fog,0.0,0.0,RU,2020-02-23 02:29:39
149,Provideniya,64.38,-173.3,-9.22,82,0,2.42,clear sky,0.0,0.0,RU,2020-02-23 02:34:33
150,Isla Mujeres,21.23,-86.73,68.0,68,75,6.93,broken clouds,0.0,0.0,MX,2020-02-23 02:35:59
151,Formosa Do Rio Preto,-11.05,-45.19,70.57,92,100,0.58,overcast clouds,0.0,0.0,BR,2020-02-23 02:36:21
152,Norsup,-16.07,167.38,86.0,70,75,10.29,broken clouds,0.0,0.0,VU,2020-02-23 02:38:39
153,Bredasdorp,-34.53,20.04,62.6,72,21,5.82,few clouds,0.0,0.0,ZA,2020-02-23 02:34:08
154,Bara,10.37,10.73,69.64,16,0,8.77,clear sky,0.0,0.0,NG,2020-02-23 02:38:40
155,Hilo,19.73,-155.09,80.6,54,1,10.29,clear sky,0.0,0.0,US,2020-02-23 02:33:37
156,Placerville,38.73,-120.8,64.4,36,1,2.73,clear sky,0.0,0.0,US,2020-02-23 02:34:42
157,Tukrah,32.53,20.58,52.95,72,21,29.57,light rain,0.31,0.0,LY,2020-02-23 02:38:41
158,Portland,45.52,-122.68,51.8,66,90,4.7,overcast clouds,0.0,0.0,US,2020-02-23 02:30:54
159,Lagoa,39.05,-27.98,58.55,77,0,13.73,clear sky,0.0,0.0,PT,2020-02-23 02:35:39
160,Cape Town,-33.93,18.42,64.99,72,0,6.93,clear sky,0.0,0.0,ZA,2020-02-23 02:31:03
161,Sinnamary,5.38,-52.95,79.18,86,98,18.48,light rain,0.25,0.0,GF,2020-02-23 02:29:00
162,Amapa,1.0,-52.0,72.82,99,100,1.39,overcast clouds,0.0,0.0,BR,2020-02-23 02:38:42
163,Bern,46.95,7.45,50.0,86,75,1.12,broken clouds,0.0,0.0,CH,2020-02-23 02:34:18
164,Russellville,35.28,-93.13,46.4,39,1,4.7,clear sky,0.0,0.0,US,2020-02-23 02:38:42
165,Bell Ville,-32.63,-62.69,61.0,76,0,6.26,clear sky,0.0,0.0,AR,2020-02-23 02:38:42
166,Burgersdorp,-31.0,26.33,56.21,68,1,15.95,clear sky,0.0,0.0,ZA,2020-02-23 02:38:42
167,Mount Isa,-20.73,139.5,87.8,52,75,10.29,broken clouds,0.0,0.0,AU,2020-02-23 02:33:36
168,Souillac,-20.52,57.52,75.2,100,40,2.24,shower rain,0.0,0.0,MU,2020-02-23 02:37:30
169,Havelock,34.88,-76.9,37.4,74,1,0.96,clear sky,0.0,0.0,US,2020-02-23 02:27:33
170,Aswan,24.09,32.91,53.6,46,27,24.16,scattered clouds,0.0,0.0,EG,2020-02-23 02:32:40
171,Fengzhen,40.44,113.15,35.71,36,0,13.47,clear sky,0.0,0.0,CN,2020-02-23 02:38:43
172,Shelburne,44.08,-80.2,36.0,74,1,14.94,clear sky,0.0,0.0,CA,2020-02-23 02:33:25
173,Kahului,20.89,-156.47,82.4,51,40,11.41,scattered clouds,0.0,0.0,US,2020-02-23 02:35:00
174,Uyuni,-20.46,-66.83,56.21,58,6,9.15,clear sky,0.0,0.0,BO,2020-02-23 02:38:44
175,Haines Junction,60.75,-137.51,7.05,87,18,7.31,few clouds,0.0,0.0,CA,2020-02-23 02:33:13
176,Los Llanos De Aridane,28.66,-17.92,71.6,53,100,14.99,overcast clouds,0.0,0.0,ES,2020-02-23 02:28:59
177,Darhan,49.49,105.92,13.77,84,63,2.37,broken clouds,0.0,0.0,MN,2020-02-23 02:38:45
178,Mandalgovi,45.76,106.27,28.83,49,38,4.41,scattered clouds,0.0,0.0,MN,2020-02-23 02:34:50
179,Katsuura,35.13,140.3,57.2,26,20,10.29,few clouds,0.0,0.0,JP,2020-02-23 02:35:12
180,Shimoda,34.67,138.95,57.99,50,20,17.22,few clouds,0.0,0.0,JP,2020-02-23 02:34:11
181,Samarai,-10.62,150.67,85.93,77,37,4.72,light rain,1.75,0.0,PG,2020-02-23 02:35:07
182,Wasilla,61.58,-149.44,23.0,85,90,3.36,light snow,0.0,0.0,US,2020-02-23 02:38:46
183,Abu Kamal,34.45,40.92,52.66,66,0,3.8,clear sky,0.0,0.0,SY,2020-02-23 02:29:40
184,Koungou,-12.73,45.2,82.4,83,100,5.82,light rain,2.44,0.0,YT,2020-02-23 02:38:46
185,Makakilo City,21.35,-158.09,80.6,57,1,9.17,clear sky,0.0,0.0,US,2020-02-23 02:29:49
186,Yarada,17.65,83.27,68.0,94,20,2.24,mist,0.0,0.0,IN,2020-02-23 02:37:40
187,Dunhua,43.37,128.24,25.16,65,65,11.7,broken clouds,0.0,0.0,CN,2020-02-23 02:38:47
188,Necochea,-38.55,-58.74,54.0,93,0,3.0,clear sky,0.0,0.0,AR,2020-02-23 02:33:28
189,Gazimurskiy Zavod,51.55,118.33,14.22,84,100,3.69,overcast clouds,0.0,0.0,RU,2020-02-23 02:38:47
190,Arraial Do Cabo,-22.97,-42.03,74.1,81,100,14.97,light rain,1.06,0.0,BR,2020-02-23 02:28:58
191,Luzhou,28.87,105.44,55.6,68,100,0.43,overcast clouds,0.0,0.0,CN,2020-02-23 02:32:21
192,Roald,62.58,6.13,39.2,80,96,19.46,light snow,0.0,1.06,NO,2020-02-23 02:33:45
193,Arroyo,41.61,-4.8,37.99,66,61,3.36,broken clouds,0.0,0.0,ES,2020-02-23 02:38:48
194,Severo-Kurilsk,50.68,156.12,18.55,85,100,12.68,overcast clouds,0.0,0.0,RU,2020-02-23 02:34:33
195,Cuamba,-14.8,36.54,68.77,97,22,1.07,few clouds,0.0,0.0,MZ,2020-02-23 02:38:23
196,Husavik,66.04,-17.34,32.0,74,20,4.7,few clouds,0.0,0.0,IS,2020-02-23 02:31:54
197,Port-Cartier,50.03,-66.87,30.2,74,20,9.17,few clouds,0.0,0.0,CA,2020-02-23 02:38:49
198,Klaksvik,62.23,-6.59,35.6,69,100,1.12,light snow,0.0,1.31,FO,2020-02-23 02:33:50
199,Avera,33.19,-82.53,43.0,48,1,2.91,clear sky,0.0,0.0,US,2020-02-23 02:38:50
200,Tiznit,29.58,-9.5,63.37,20,0,32.82,clear sky,0.0,0.0,MA,2020-02-23 02:29:16
201,Constitucion,-35.33,-72.42,51.35,92,16,3.13,few clouds,0.0,0.0,CL,2020-02-23 02:36:43
202,Marawi,8.0,124.29,80.01,76,0,5.99,clear sky,0.0,0.0,PH,2020-02-23 02:38:50
203,Port Augusta,-32.5,137.77,88.0,32,0,8.05,clear sky,0.0,0.0,AU,2020-02-23 02:38:50
204,Vostok,46.49,135.88,15.19,88,93,6.89,overcast clouds,0.0,0.0,RU,2020-02-23 02:35:17
205,Juegang,32.32,121.19,57.99,44,0,11.45,clear sky,0.0,0.0,CN,2020-02-23 02:38:51
206,Tautira,-17.73,-149.15,86.0,70,40,12.75,shower rain,0.0,0.0,PF,2020-02-23 02:38:51
207,Viet Tri,21.3,105.43,66.2,88,0,4.7,mist,0.0,0.0,VN,2020-02-23 02:38:51
208,Gillette,44.29,-105.5,35.6,64,1,13.87,clear sky,0.0,0.0,US,2020-02-23 02:29:01
209,Sakakah,29.97,40.21,48.2,40,0,6.64,clear sky,0.0,0.0,SA,2020-02-23 02:38:52
210,Ipixuna,-1.76,-48.8,78.8,88,40,9.17,scattered clouds,0.0,0.0,BR,2020-02-23 02:38:52
211,Mnogovershinnyy,53.94,139.92,10.36,84,0,3.65,clear sky,0.0,0.0,RU,2020-02-23 02:38:52
212,Lasa,46.62,10.7,37.99,64,1,3.11,clear sky,0.0,0.0,IT,2020-02-23 02:38:52
213,Karratha,-20.74,116.85,82.11,68,8,16.55,clear sky,0.0,0.0,AU,2020-02-23 02:37:18
214,College,64.86,-147.8,8.6,71,90,12.75,snow,0.0,0.0,US,2020-02-23 02:37:42
215,Hay River,60.82,-115.8,6.8,77,75,2.24,broken clouds,0.0,0.0,CA,2020-02-23 02:28:59
216,Luanda,-8.84,13.23,77.0,94,75,3.36,broken clouds,0.0,0.0,AO,2020-02-23 02:38:53
217,Zhanakorgan,43.91,67.25,31.37,72,100,4.45,overcast clouds,0.0,0.0,KZ,2020-02-23 02:38:53
218,Srinivaspur,13.33,78.22,75.0,100,40,8.05,mist,0.0,0.0,IN,2020-02-23 02:38:53
219,Balabac,7.99,117.06,82.85,69,34,21.45,light rain,0.13,0.0,PH,2020-02-23 02:38:53
220,Nelson Bay,-32.72,152.15,77.0,47,100,10.29,overcast clouds,0.0,0.0,AU,2020-02-23 02:32:41
221,Revelstoke,50.98,-118.2,33.8,94,1,1.52,clear sky,0.0,0.0,CA,2020-02-23 02:36:42
222,Aksu,41.12,80.26,37.24,42,0,2.59,clear sky,0.0,0.0,CN,2020-02-23 02:29:41
223,Iqaluit,63.75,-68.51,-32.01,59,20,4.7,few clouds,0.0,0.0,CA,2020-02-23 02:33:17
224,Hobyo,5.35,48.53,76.05,69,78,15.03,broken clouds,0.0,0.0,SO,2020-02-23 02:38:54
225,Puerto Del Rosario,28.5,-13.86,69.8,77,22,17.22,few clouds,0.0,0.0,ES,2020-02-23 02:29:12
226,Ginir,7.13,40.7,58.15,50,23,3.85,few clouds,0.0,0.0,ET,2020-02-23 02:38:55
227,Kalaleh,37.38,55.49,50.0,93,90,0.22,overcast clouds,0.0,0.0,IR,2020-02-23 02:38:55
228,Lompoc,34.64,-120.46,59.0,71,90,8.05,overcast clouds,0.0,0.0,US,2020-02-23 02:36:39
229,Shache,38.42,77.24,32.0,56,0,2.75,clear sky,0.0,0.0,CN,2020-02-23 02:34:43
230,Fairbanks,64.84,-147.72,8.6,71,90,12.75,overcast clouds,0.0,0.0,US,2020-02-23 02:35:45
231,Tuatapere,-46.13,167.68,62.01,74,40,17.0,scattered clouds,0.0,0.0,NZ,2020-02-23 02:34:41
232,Coos Bay,43.37,-124.22,48.99,93,1,13.87,clear sky,0.0,0.0,US,2020-02-23 02:38:56
233,Ilmenau,50.68,10.9,48.99,87,75,17.22,light rain,0.0,0.0,DE,2020-02-23 02:38:56
234,Flinders,-34.58,150.86,78.8,57,75,10.29,broken clouds,0.0,0.0,AU,2020-02-23 02:35:59
235,Madang,-5.22,145.8,82.83,75,0,10.22,clear sky,0.0,0.0,PG,2020-02-23 02:38:57
